Nombres	Introduccion	Personaje	Opciones	Pregunta	Respuesta	Opcion  desbloqueada	Visibiliza Nombre	Sospechoso Encontrado	Pista Encontrada	Es Motivo	Es Motivo verdadero	Motivo en selector	Motivo en Hipotesis	Audios	Audio Dialogos Extra
Jack Peck		1	1	¿Cuál es su nombre y profesión?	Jack Peck, encantado de conocerlo.	1	S							Audio/Dialogos/Caso3/Detective/Det_c3_nombre_y_profesion;Audio/Dialogos/Caso3/Personas/Jack1_c3	
Jack Peck		1	1	¿Cómo era su relación con Maia?	Uy pero, ¿por dónde empezar? La conozco desde hace 5 años, solía ser mi novia en secundaria hasta que decidió dejarme cuando más la necesitaba.	2,3								Audio/Dialogos/Caso3/Detective/Det_c3_relacion_con_maia;Audio/Dialogos/Caso3/Personas/Jack2_c3	
Jack Peck		1	2	¿Cuándo más la necesitaba?	Claro, mi madre había muerto en un accidente de tránsito y mi padre me abandonó para formar otra familia... naturalmente me sentía muy sólo y desesperado de perder a la única persona en mi vida.	5								Audio/Dialogos/Caso3/Detective/Det_c3_jack1;Audio/Dialogos/Caso3/Personas/Jack3_c3	
Jack Peck		1	3	¿Por qué decidió dejarlo?	Según ella, yo era muy manipulador e histérico, bordando lo psicótico.	4,6		Jack Peck						Audio/Dialogos/Caso3/Detective/Det_c3_jack2;Audio/Dialogos/Caso3/Personas/Jack4_c3	
Jack Peck		1	4	¿Usted sufre de alguna enfermedad mental?	¿Disculpe? Claro que no. Soy una persona completamente sana mentalmente ... uhhh mira palmitos!	0								Audio/Dialogos/Caso3/Detective/Det_c3_jack3;Audio/Dialogos/Caso3/Personas/Jack5_c3	
Jack Peck		1	5	Lamento oir lo que pasó.	Muchas gracias.	0								Audio/Dialogos/Caso3/Detective/Det_c3_jack4;Audio/Dialogos/Caso3/Personas/Jack6_c3	
Jack Peck		1	6	¿Cómo trataba usted a Maia?	Yo sólo quería lo mejor para ella, así que naturalmente le di todo lo que podía, hize mi mayor esfuerzo para hacerla feliz. Pero ella sólo me lo agradeció abandonandome y dejandome completamente sólo cuando mas la necesitaba... la extraño todavía.	0		Jack Peck		S	S	Por dejarlo cuando mas lo necesitaba.	se quedo solo	Audio/Dialogos/Caso3/Detective/Det_c3_jack5;Audio/Dialogos/Caso3/Personas/Jack7_c3	
Betty		2	1	¿Cuál es su nombre y profesión?	Me llamo Betty y trabajo en una fábrica de chocolate.	2	S							Audio/Dialogos/Caso3/Detective/Det_c3_nombre_y_profesion;Audio/Dialogos/Caso3/Personas/Betty1_c3	
Betty		2	1	¿Cómo era su relación con la gorda... digo Maia?	No la veo desde la escuela. Nuestra relación era horrible, ella siempre me molestaba. Le guarde mucho rencor de chica.	3		Betty						Audio/Dialogos/Caso3/Detective/Bety;Audio/Dialogos/Caso3/Personas/Betty2_c3	
Betty		2	1	Hahaha usted es muy gorda.	...	0								Audio/Dialogos/Caso3/Detective/Det_c3_betty1;Audio/Dialogos/Caso3/Personas/	
Betty		2	2	¿Betty sólo? ¿Sin apellido o segundo nombre?	Si, solamente Betty.	3								Audio/Dialogos/Caso3/Detective/Det_c3_betty2;Audio/Dialogos/Caso3/Personas/Betty3_c3	
Betty		2	3	Entonces usted la odiaba por que la molestaba mucho en la escuela.	Si, pasó toda mi infancia molestandome, evitando que pudiera estar tranquila. Me decia La gorda Betty y todos me empezaron a decir así hasta el día de la graduación.	4		Betty		S		Por molestarla cuando estaban en la escuela	crecio sin amigos	Audio/Dialogos/Caso3/Detective/Det_c3_betty3;Audio/Dialogos/Caso3/Personas/Betty4_c3	
Betty		2	4	Hahahaha La gorda Betty...con razon Maia tenía tantos amigos.	No! Era una perra!	0								Audio/Dialogos/Caso3/Detective/Det_c3_betty4;Audio/Dialogos/Caso3/Personas/Betty5_c3	
Michael White		3	1	¿Cuál es su nombre y profesión?	Me llamo Michael White y soy el doctor encargado en este tren.	2	S							Audio/Dialogos/Caso3/Detective/Det_c3_nombre_y_profesion;Audio/Dialogos/Caso3/Personas/White1_c3	
Michael White		3	1	¿Cómo era su relación con Maia?	Personalmente no conocí a la chica, solamente la he visto pasar por allí. Realmente es una pena.	0								Audio/Dialogos/Caso3/Detective/Det_c3_relacion_con_maia;Audio/Dialogos/Caso3/Personas/White2_c3	
Michael White		3	2	¿Usted es el único en el tren que tiene acceso a medicamentos?	Así es, soy la única persona que puede conseguir medicamentos dentro del tren.	3		Michael White						Audio/Dialogos/Caso3/Detective/Det_c3_white1;Audio/Dialogos/Caso3/Personas/White3_c3	
Michael White		3	3	El cuerpo de Maia devela que ha consumido varios medicamentos	Exactamente, ¿está sugiriendo que alguien los robó?	4								Audio/Dialogos/Caso3/Detective/Det_c3_white2;Audio/Dialogos/Caso3/Personas/White4_c3	
Michael White		3	4	No es exactamente lo que sugiero pero... usted es el único que tiene acceso a los medicamentos, ¿no? Es decir, ¿nadie más pudo haberlos tomado? 	Como ya le dije, si, soy el único que tiene ese privilegio y no creo que nadie haya podido robarlos. Están muy bien guardados bajo llave. 	0		Michael White		S		Por ser el unico con acceso a los medicamentos	tenia sed de sangre	Audio/Dialogos/Caso3/Detective/Det_c3_white3;Audio/Dialogos/Caso3/Personas/White5_c3	
Enzo Mata		4	1	¿Cuál es su nombre y profesión?	Mi nombre es Enzo Mata....hey un momento, ¿no habíamos pasado ya por esto?	2	S	Enzo Mata						Audio/Dialogos/Caso3/Detective/Det_c3_nombre_y_profesion;Audio/Dialogos/Caso3/Personas/Enzo1_c3	
Enzo Mata		4	1	¿Cómo era su relación con Maia?	Bueno ella estabaaa... buena. La acabo de conocer y ya me la chapé.  	3								Audio/Dialogos/Caso3/Detective/Det_c3_relacion_con_maia;Audio/Dialogos/Caso3/Personas/Enzo2_c3	
Enzo Mata		4	2	¿Y vos cómo andas?	Bien no me quejo, mas allá de que mi "amiga" acaba de morir y que mi ex está en la cárcel....todo bien!	0								Audio/Dialogos/Caso3/Detective/Det_c3_enzo1;Audio/Dialogos/Caso3/Personas/Enzo3_c3	
Enzo Mata		4	3	Debe ser muy fuerte para vos esta pérdida. Supongo que tu no la mataste... serías tremendo masoquista.	Si, en este caso yo no fui...asi que estoy fuera de la lista de sospechosos.	4								Audio/Dialogos/Caso3/Detective/Det_c3_enzo2;Audio/Dialogos/Caso3/Personas/Enzo4_c3	
Enzo Mata		4	4	No tan rápido, aún así quisíste secuestrar a la Sra. Rowsbell. Así que por lo que a mi concierne pudiste haber sido tú el asesino en este caso.	Oh vamos! Ese fue el caso anterior! Yo solo soy un extra! Ésto no es para nada justo.	0		Enzo Mata		S		Por haber intentado matar a la Sr. Rowsbell anteriormente	Intento de asesinato anteriores	Audio/Dialogos/Caso3/Detective/Det_c3_enzo3;Audio/Dialogos/Caso3/Personas/Enzo5_c3	
Beto		5	1	¿Cuál es su nombre y profesión?	Me llamo Beto, y tengo mi propia cadena de comida rápida!	2	S							Audio/Dialogos/Caso3/Detective/Det_c3_nombre_y_profesion;Audio/Dialogos/Caso3/Personas/Beto1_c3	
Beto		5	1	¿Cómo era su relación con Maia?	De hecho la conocía desde la primaria. Fuimos a la escuela juntos. Se podría decir que nuestra relación ahí no fue la mejor. Ella no me paraba de molestar, hizo mi vida un infierno. Para ser completamente sincero, una parte mía esta alegre de que Maia haya muerto.	3		Beto						Audio/Dialogos/Caso3/Detective/Det_c3_relacion_con_maia;Audio/Dialogos/Caso3/Personas/Beto2_c3	
Beto		5	2	¿Beto? Por dios, este tren no puede ser mas ridículo.	I KNOW, RIGHT?	0								Audio/Dialogos/Caso3/Detective/Det_c3_beto1;Audio/Dialogos/Caso3/Personas/Beto3_c3	
Beto		5	3	Entonces Maia te molestaba de chico igual que a esa chica Betty.	Si! Betty es mi novia! Nos conocimos por el odio que le teníamos a Maia. Es algo extraño como del odio puede crecer amor.	0		Beto				Por molestarlo cuando estaban en la escuela	tubo una vida dificil en la escuela	Audio/Dialogos/Caso3/Detective/Det_c3_beto2;Audio/Dialogos/Caso3/Personas/Beto4_c3	
Extra1	Mataron a 3 personas y todavía sigo en este tren... ¿qué es lo que le pasa a esta gente?	6	1												Audio/Dialogos/Caso3/Personas/Extra1_c3
Extra4	Nunca vi a un muerto en mi vida. Me subo a este tren y ya hay 3.	9	1												Audio/Dialogos/Caso3/Personas/Extra4_c3
Extra5	Me gustan los cornalitos.	10	1												Audio/Dialogos/Caso3/Personas/Extra5_c3
Extra6	Me dijeron que la gorda Betty estaba en este tren. Vine para recordarle que es gorda.	11	1												Audio/Dialogos/Caso3/Personas/Extra6_c3
Extra7	Haz lo que quieras conmigo! Estoy ebrioooo!	12	1												Audio/Dialogos/Caso3/Personas/Extra7_c3
Ash Williams	¿Alguna vez pensaste que las personas podemos disparar rayos láser de los pezones? Porque hay una señora en el otro vagon que opinaría diferente.	13	1												Audio/Dialogos/Caso3/Personas/Ash_c3
Extra10	Ya murieron 3 personas en este viaje. Que bueno que sólo quedan dos estaciones más.	14	1												Audio/Dialogos/Caso3/Personas/Extra10_c3
Igor Borsch	Yo Igor...tu jane!....No, espera, eso no era así.	15	1												Audio/Dialogos/Caso3/Personas/Igor_c3
Extra9	Se que hay un detective en este tren, no quiero que descubra que me robo las toallas de los baños. Si lo llegas a ver solamente grita "palmitos" y yo me escondere bajo la mesa junto con el posible duende asesino. 	16	1												Audio/Dialogos/Caso3/Personas/Extra9_c3
Extra8	¿Alguna vez sentiste que no perteneces a ningun lugar? Es horrible no sentirse integrado.	17	1												Audio/Dialogos/Caso3/Personas/Extra8_c3
Remi Linguini	¿Viste esos horribles zapatos del caso uno? Osea, diuuuuu ¿Quién usa tacos verdes?	18	1												Audio/Dialogos/Caso3/Personas/Remi_c3
Extra11	¿Te burlas de un jugador de basket por no saber jugar al football? ¿Qué te pasa?	19	1												Audio/Dialogos/Caso3/Personas/Extra11_c3
Extra11B	Algun día la gente se va a burlar de vos por pensar diferente. No dejes que eso te afecte, las mentes débiles sólo saben tirarte abajo.	20	1												Audio/Dialogos/Caso3/Personas/Extra11B_c3
Extra 12(Es adolescente)	Todos se ríen de mi, pero yo les voy a demostrar lo que puedo hacer, que puedo ser mejor que todos ellos juntos.	21	1												Audio/Dialogos/Caso3/Personas/Extra12_c3
Extra 13	Es fácil burlarse del que hace algo, el que pone el corazón, el que se esfuerza por ser alguien.	22	1												Audio/Dialogos/Caso3/Personas/Extra13_c3
Extra 15	Ahhhhhhhh galletitassssss!	23	1												Audio/Dialogos/Caso3/Personas/Extra15_c3
Extra17	Ayudenme soy un guionista secuestrado que lo obligan a escribir diálogos en este juego, estoy en un sótano vigilado por un hombre llamado Lui, apresúrense!	24	1												Audio/Dialogos/Caso3/Personas/Extra17_c3
Extra18	Ayy están hechas unas locas!!!!	25	1												Audio/Dialogos/Caso3/Personas/Extra18_c3
Mirtha Pendu	Yo he visto un conejito!	26	1												Audio/Dialogos/Caso3/Personas/Socia_c3
Floyd Wilson	Saltar con gran pasión 	27	1												Audio/Dialogos/Caso3/Personas/Floyd_c3
Exempleado	Me dijeron que Sr Steel es un ortiva. Pero no se que significa eso	28	1												Audio/Dialogos/Caso3/Personas/Liam_c3
Extra 14	Los palmitos engordan, dícelo al hombre de enfrente mío. 	29	1												Audio/Dialogos/Caso3/Personas/Extra14_c3
