Nombres	Introduccion	Personaje	Opciones	Pregunta	Respuesta	Opcion  desbloqueada	Visibiliza Nombre	Sospechoso Encontrado	Pista Encontrada	Es Motivo	Es Motivo verdadero	Motivo en selector	Motivo en Hipotesis	Audios	Audio Dialogos Extra
Ash Williams		1	1	¿Cuál es su nombre y profesión?	Mi nombre es Ash Williams y soy jefe del salón comedor desde hace ya 6 años.	0	S							Audio/Dialogos/Caso1/Detective/Det_nombre_y_profesion;Audio/Dialogos/Caso1/Personas/Ash1	
Ash Williams		1	1	¿Cómo era su relación con Victor Dominguez?	Ese bastardo...lo contrate como camarero hace ya un tiempo porque me lo recomendó la perra de mi esposa (Sigh)... Nunca debí haber hecho eso.	3								Audio/Dialogos/Caso1/Detective/Det_relacion_con_victor;Audio/Dialogos/Caso1/Personas/Ash2	
Ash Williams		1	2	¿Por qué no?	¿Sabe que? La verdad fue una estupenda idea contratarlo, así pude ver la cara del bastardo con el que mi esposa me engañaba. Esa estúpida cabó su propia tumba.	4,5				S		Por infedelidad de su mujer	le fueron infiel	Audio/Dialogos/Caso1/Detective/Det_ash1;Audio/Dialogos/Caso1/Personas/Ash3	
Ash Williams		1	3	Lamento oir eso...	No, no se preocupe... son cosas que le pueden pasar a cualquiera. Fue mi culpa por casarme con una perra.	0								Audio/Dialogos/Caso1/Detective/Det_ash2;Audio/Dialogos/Caso1/Personas/Ash4	
Ash Williams		1	4	¿Odia a Victor por eso?	Un poco si, pero no fue eso lo que me hizo enojar con él.	6		Ash Williams						Audio/Dialogos/Caso1/Detective/Det_ash3;Audio/Dialogos/Caso1/Personas/Ash5	
Ash Williams		1	5	¿Le gustan los palmitos?	¿Qué clase de pregunta es esa? Claro que me gustan los palmitos. Aquel que no le gustan es un idiota...seguro que a Victor no le gustaban los palmitos.	0				S		Porque no le gustaban los palmitos	no le gustaban los palmitos	Audio/Dialogos/Caso1/Detective/Det_ash4;Audio/Dialogos/Caso1/Personas/Ash6	
Ash Williams		1	6	¿Qué fue lo que lo hizo enojarse?	Cuando me entere de lo que estaba pasando fui a confrontarlo... El idiota negó todo. Hizo como si no supiera nada. Claro yo no tenía pruebas muy concretas, pero todos saben cómo las indirectas funcionan.			Ash Williams						Audio/Dialogos/Caso1/Detective/Det_ash5;Audio/Dialogos/Caso1/Personas/Ash7	
Remy Linguini		2	1	¿Cúal es su nombre y profesión?	Mi nombre es Remi Linguini y como ya se habrá dado cuenta soy un camarero.	0	S							Audio/Dialogos/Caso1/Detective/Det_nombre_y_profesion;Audio/Dialogos/Caso1/Personas/Remi1	
Remy Linguini		2	1	¿Cómo era su relación con Victor Dominguez?	Bueno...en un principio fue una buena relación, creo que hasta se podía considerar mi amigo, ya sabe como es esto, siempre entre colegas nos terminamos haciendo amigos. Pero...	2								Audio/Dialogos/Caso1/Detective/Det_relacion_con_victor;Audio/Dialogos/Caso1/Personas/Remi2	
Remy Linguini		2	2	¿Pero qué pasó?	A veces cosas malas pasan y... bueno... uno espera el apoyo de sus amigos cuando eso sucede. Pero no, Victor utilizó todo lo que sabía de mí para chantagearme. Desde entonces le guardo un rencor profundo. Me alegro de que ya no este.	3,4		Remy Linguini						Audio/Dialogos/Caso1/Detective/Det_remi1;Audio/Dialogos/Caso1/Personas/Remi3	
Remy Linguini		2	3	¿Qué fue lo que pasó?	Yo... le debo dinero a unas personas. Nada más.	5				S		Por soborno	lo sobornaba	Audio/Dialogos/Caso1/Detective/Det_remi2;Audio/Dialogos/Caso1/Personas/Remi4	
Remy Linguini		2	4	¿Por qué Victor lo chantageaba?	Vió la oportunidad y la aprovechó supongo.....no era una buena persona.	0								Audio/Dialogos/Caso1/Detective/Det_remi3;Audio/Dialogos/Caso1/Personas/Remi5	
Remy Linguini		2	5	¿A quién le debe dinero?	Disculpe pero me tengo que retirar, tengo que trabajar y necesito conseguir una nueva lapicera para anotar los pedidos. Con permiso.	0		Remy Linguini						Audio/Dialogos/Caso1/Detective/Det_remi4;Audio/Dialogos/Caso1/Personas/Remi6	
Zoe H. Quinzel		3	1	¿Cúal es su nombre y profesión?	Yo soy la Dra. Zoe H. Quinzel y soy psiquiatra. Recién recibida. Victor Dominguez era mi paciente.	0	S							Audio/Dialogos/Caso1/Detective/Det_nombre_y_profesion;Audio/Dialogos/Caso1/Personas/Zoe1	
Zoe H. Quinzel		3	1	¿Cómo era su relación con Victor Dominguez?	Mi relación con Victor Dominguez era puramente profesional… No me cree? Puede preguntarle a cualquiera de mis colegas!...Emmm digo…. Era puramente profesional. Lo estaba tratando desde hace ya varios meses. Pero el decidió terminar con el tratamiento. Seguro la estúpida de su esposa tenía algo que ver con eso.	2,3								Audio/Dialogos/Caso1/Detective/Det_relacion_con_victor;Audio/Dialogos/Caso1/Personas/Zoe2	
Zoe H. Quinzel		3	2	Si decidió terminar el tratamiento ¿Qué hace usted en este tren?	¿Qué hago yo en el tren?....Pues....yo.....emmm...claramente estoy viajando. Fue una mera coincidencia que el trabajara justo en este tren.	0		Zoe H. Quinzel						Audio/Dialogos/Caso1/Detective/Det_zoe1;Audio/Dialogos/Caso1/Personas/Zoe3	
Zoe H. Quinzel		3	3	¿Por qué recibía un tratamiento?	No le puedo decir. No puedo revelar ese tipo de información sobre mi amor...digo paciente paciente....ex paciente.	4								Audio/Dialogos/Caso1/Detective/Det_zoe2;Audio/Dialogos/Caso1/Personas/Zoe4	
Zoe H. Quinzel		3	4	¿Sabe? Encontramos una nota de él confesando que estaba perdidamente enamorado de usted.	¿QUÉ? ¿ÉSTO ES EN SERIO? LO SABÍA!  Sabía que él también se sentía así por mi! ¿Por qué no me lo dijo? Todo este tiempo perdido que pudimos haber aprovechado.... y el trágico final que nunca hubiera ocurrido.	5				S		Por celos	era muy celosa	Audio/Dialogos/Caso1/Detective/Det_zoe3;Audio/Dialogos/Caso1/Personas/Zoe5	
Zoe H. Quinzel		3	5	¿Así que usted estaba enamorada de él?	Claro que sí! Y él tambien estaba enamorado de mi. Ésto sólo me confirma que era un idiota. Tal vez si no se hubiera ido con otra las cosas ahora serían muy diferentes.	0		Zoe H. Quinzel						Audio/Dialogos/Caso1/Detective/Det_zoe4;Audio/Dialogos/Caso1/Personas/Zoe6	
Igor Borsch		4	1	¿Cúal es su nombre y profesión?	Igor Borsh y soy conserje.	0	S							Audio/Dialogos/Caso1/Detective/Det_nombre_y_profesion;Audio/Dialogos/Caso1/Personas/Igor1	
Igor Borsch		4	1	¿Cómo era su relación con Victor Dominguez?	¿Mi relación con ese inútil? No nos cruzabamos mucho, pero cuando lo veía lo acechaba con una mirada de odio, a él y a su amigo igual de inútil, Linguini.	2		Igor Borsch						Audio/Dialogos/Caso1/Detective/Det_relacion_con_victor;Audio/Dialogos/Caso1/Personas/Igor2	
Igor Borsch		4	2	¿Entonces? No te agrabadan	¿Qué?¿Eres sordo? Claro que no me agradaban, lo único que hacían era tomar sus pedidos con sus estúpidas lapiceras y dejar todo sucio. Claro dejen todo sucio, de todas maneras es el conserje el que después tiene que limpiar todo, a nadie le importa el conserje.  Si tan sólo esto hubiera pasado cuando estaba con la mafia...	3,4		Igor Borsch						Audio/Dialogos/Caso1/Detective/Det_Igor1;Audio/Dialogos/Caso1/Personas/Igor3	
Igor Borsch		4	3	¿La Mafia?	Si chico, yo forme parte de la mafia rusa...fue cuando era más joven. Era un ambiente muy violento, por eso me aleje.	0								Audio/Dialogos/Caso1/Detective/Det_Igor2;Audio/Dialogos/Caso1/Personas/Igor4	
